"HolderAddress","Balance","PendingBalanceUpdate"
"0x21375e8ff94a9acad555e0d8a4f17c69c5e33bd5","4,348,121,653.699053049719147945","No"
"0x1e4b63ecb67c31af9d1888e16ba4631e7f3f2e20","4,281,211,380.736274029696949509","No"
"0x5fc29dc8bba898c7fbceb06475f817b43b1ca460","4,006,019,923.076373847201197065","No"
"0x565750faadfcc4f5dfb395e42128d540f491335c","3,954,408,105.362445848796043307","No"
"0x4f453faf7972950a976e4532ea8006f0a6ea0483","3,913,524,005.386119260021806144","No"
"0xd44aa3977ebd4570d8656fbb005d5797c0e43d55","3,881,871,418.623051304572617146","No"
"0x815f87ca3db2b9491115a7769aeacb140361c5a9","3,704,571,862.728534747626440202","No"
"0x1c51517d8277c9ad6d701fb5394cec0c18219edb","3,650,000,000","No"
"0x9fe27a738e1197da7d2a387c38ec70b4e4e3ac22","3,638,560,782.145651694603682043","No"
"0x558e15edb19be404224a834f7776ab79bd783225","3,569,616,159.742884792426541786","No"
"0x39c3c192e766de35b84287bcba4bbc38d33e1faa","3,551,501,343.639770644020431691","No"
"0x8619ba030c3057359408992f00c10cf7bf8d5e1e","3,540,000,000","No"
"0xb44477a4336f911424c344393ebe7371bc4b1889","3,519,256,387.754361843817796605","No"
"0xfd7d7e7f449fac8001ec7988e53b66e894c5778b","3,462,149,172.603747782920678357","No"
"0xd23c85224940fb5b5148ba212277c8516f31947e","3,460,695,694.882406194553005856","No"
"0xc17b1feb5aa18042105ca74f943c092a30793cc9","3,405,878,060.875363787632606855","No"
"0xec697cdd957a6b2ee54ace2afaaeb7aa90a2de31","3,385,741,771.33053045238778523","No"
"0xdc676310b6c3527d4cc9437353fb6f85c3a96325","3,338,602,346.256971322521272291","No"
"0x6ced0f0a3978854dfe2d7dd42aa6a7416170f6fb","3,288,252,834.612294584391636833","No"
"0x8c7e0f8c06a43b5addfa9d02e575915e7480e723","3,177,914,643.834689069024759778","No"
"0x397ebd42574199dcd9fb3e39c2c9175543518742","3,151,166,532.665282679589273608","No"
"0x65e40ced08a92c2c2fefe2a1df756b8413a6e268","3,126,283,515.5658","No"
"0x46943d0344b3655e77a2ad1ce18f448961906e2f","3,080,849,594.232765274889999492","No"
"0x1a641cfb26266c3e25bbfdcb568f5f345ff2cb2c","3,058,775,535.717142017945251233","No"
"0x1253594843798ff0fcd7fa221b820c2d3ca58fd5","3,037,054,370.4142","No"
"0xada4389661b5aa5756636ca7d3c051c3d04edabb","3,021,132,732.232523940330024075","No"
"0x90add73c77d303f7a3fd6efef6387dace32790fc","3,000,177,810.683867848885498249","No"
"0xa45e0ad23abeaca5d0976ea102bdb6c95617f43e","3,000,000,000","No"
"0xcc32e6d5cfeadfa6a4e980dea3df201b64918f10","3,000,000,000","No"
"0x6db8753a4c8813e6e6f936417ef3eed56286b8ca","3,000,000,000","No"
"0x3b1df98d1b9d4ee90906940128affc9288685044","2,990,780,838.125054349340325","No"
"0xc252b49bc77de116f13833c4cc5288f9768854f1","2,965,652,407.356750181000257814","No"
"0x56c3af2aeeb92a6ce3ef5a790465362688638f17","2,936,890,635.44639552938869081","No"
"0x906419d4431ae3d04af1ead60e508aa44071bfb3","2,896,722,771.01501050672","No"
"0x9a1f684468548edec63791efa509536c0b69bb84","2,895,002,331.070521012533217532","No"
"0x4dc5b8860f1d4194e45bdb88208360fe401b4add","2,855,668,474.639218378292070763","No"
"0x20fd5fe4e7ef53a9be245877d45894e2100f17eb","2,817,518,910.989289160812195797","No"
"0xcf7105fde573695d62666aefa4e1691bf3ab50d5","2,771,767,020.745996327568875879","No"
"0xcf8070322a9a704c6bb8657e29c6c30253ca43ca","2,704,666,245.434603770237247774","No"
"0x6c0172de23cc67fb2a2349270d74dbe61008ffbd","2,696,794,819.375327702194243402","No"
"0xd21c05856f81d1769e751940c22d975c74cba79a","2,674,322,946.171463185150491403","No"
"0x6fde31b23bed27c70a3c944da21c743b59a28b45","2,668,210,727.080826644592298693","No"
"0xf2384eed294fe78678047a9a40ab65b39de5d090","2,655,434,693.034984122902166369","No"
"0x9eb13e527fd7f1d45594f65ae5ba2ad6d3630b45","2,632,993,712.621825155766207738","No"
"0xa4c874c0c7214e914a5383e06b3e70f9f0644978","2,632,324,251.155633568","No"
"0x10d61f4b7c102c8bf2c5bd00063e41bc5178e081","2,602,513,086.929947220744001405","No"
"0x110519ac244fc5c6882118805607fbe9a5576b4a","2,587,095,118.203463423604118024","No"
